keyword,platform,pid,name,price,status,description,image_url,link,date,normalized_title,brand,model_name,product_type,is_accessory,storage_gb
갤럭시,번개장터,406416160,갤럭시 J530핑크 무잔상 정상공기기 중고폰,50000,판매중,,https://media.bunjang.co.kr/product/406416160_1_1778069772_w{res}.jpg,https://m.bunjang.co.kr/products/406416160,2026-05-06 21:16,갤럭시 j530핑크 무잔상 정상공기기 중고폰,삼성,,PHONE,N,
갤럭시,번개장터,406415946,[A급/삼케플] 갤럭시 버즈3 프로 화이트 풀박스 판매합니다,155000,판매중,,https://media.bunjang.co.kr/product/406415946_1_1778069717_w{res}.jpg,https://m.bunjang.co.kr/products/406415946,2026-05-06 21:15,[a급/삼케플] 갤럭시 버즈3 프로 화이트 스,삼성,,PHONE,N,
갤럭시,번개장터,404834074,갤럭시탭 s10 라이트 북커버 케이스,30000,판매중,,https://media.bunjang.co.kr/product/404834074_1_1777471861_w{res}.jpg,https://m.bunjang.co.kr/products/404834074,2026-05-06 21:15,갤럭시탭 s10 라이트 북커버 케이스,삼성,,CASE,Y,
갤럭시,번개장터,406415911,갤럭시 s20fe,149000,판매중,,https://media.bunjang.co.kr/product/406415911_1_1778069705_w{res}.jpg,https://m.bunjang.co.kr/products/406415911,2026-05-06 21:15,갤럭시 s20fe,삼성,갤럭시 s20,PHONE,N,
갤럭시,번개장터,394162584,갤럭시 S24울트라 맥세이프 쿼드락 + 미사용 슈피겐 케이스 + 액정필름,50000,판매중,,https://media.bunjang.co.kr/product/394162584_1_1773041023_w{res}.jpg,https://m.bunjang.co.kr/products/394162584,2026-05-06 21:15,갤럭시 s24울트라 맥세이프 쿼드락 + 미사용 슈피겐 케이스 + 액정필름,삼성,갤럭시 s24,FILM,Y,
갤럭시,번개장터,401664885,갤럭시 Z 폴드4 512GB,450000,판매중,,https://media.bunjang.co.kr/product/401664885_1_1778025220_w{res}.jpg,https://m.bunjang.co.kr/products/401664885,2026-05-06 21:15,갤럭시 z 폴드4 512gb,삼성,갤럭시 z 폴드4,PHONE,N,512.0
갤럭시,번개장터,393531168,갤럭시S26 울트라,630000,판매중,,https://media.bunjang.co.kr/product/393531168_1_1777627227_w{res}.jpg,https://m.bunjang.co.kr/products/393531168,2026-05-06 21:15,갤럭시s26 울트라,삼성,갤럭시 s26,PHONE,N,
갤럭시,번개장터,393531012,갤럭시S26플러스,250000,판매중,,https://media.bunjang.co.kr/product/393531012_1_1777627247_w{res}.jpg,https://m.bunjang.co.kr/products/393531012,2026-05-06 21:15,갤럭시s26플러스,삼성,갤럭시 s26,PHONE,N,
갤럭시,번개장터,393530858,갤럭시S26,130000,판매중,,https://media.bunjang.co.kr/product/393530858_1_1777627275_w{res}.jpg,https://m.bunjang.co.kr/products/393530858,2026-05-06 21:15,갤럭시s26,삼성,갤럭시 s26,PHONE,N,
갤럭시,번개장터,406415749,SSS급) 갤럭시 S25 엣지 256GB 판매,735000,판매중,,https://media.bunjang.co.kr/product/406415749_1_1778069657_w{res}.jpg,https://m.bunjang.co.kr/products/406415749,2026-05-06 21:14,sss급) 갤럭시 s25 엣지 256gb,삼성,갤럭시 s25,PHONE,N,256.0
