keyword,platform,pid,name,price,status,description,image_url,link,date,normalized_title,brand,model_name,product_type,is_accessory,storage_gb
아이폰,번개장터,329154497,아이폰충전기,20000,판매중,,https://media.bunjang.co.kr/product/329154497_1_1773601597_w{res}.jpg,https://m.bunjang.co.kr/products/329154497,2026-05-06 21:12,아이폰충전기,애플,,CHARGER,Y,
아이폰,번개장터,313099394,아이폰충전기,20000,판매중,,https://media.bunjang.co.kr/product/313099394_1_1745241372_w{res}.jpg,https://m.bunjang.co.kr/products/313099394,2026-05-06 21:12,아이폰충전기,애플,,CHARGER,Y,
아이폰,번개장터,401847015,아이폰 6s 플러스 실버 16기가,95000,판매중,,https://media.bunjang.co.kr/product/401847015_1_1777886137_w{res}.jpg,https://m.bunjang.co.kr/products/401847015,2026-05-06 21:12,아이폰 6s 플러스 실버 16기가,애플,아이폰 6,PHONE,N,16.0
아이폰,번개장터,406415299,"아이폰se2 레드 (S급, 128GB)",150000,판매중,,https://media.bunjang.co.kr/product/406415299_1_1778069522_w{res}.jpg,https://m.bunjang.co.kr/products/406415299,2026-05-06 21:12,"아이폰se2 레드 (s급, 128gb)",애플,,PHONE,N,128.0
아이폰,번개장터,406397282,아이폰16프로 256 블랙 자급제 풀박스,1230000,판매중,,https://media.bunjang.co.kr/product/406397282_1_1778065669_w{res}.jpg,https://m.bunjang.co.kr/products/406397282,2026-05-06 21:11,아이폰16프로 256 블랙 자급제 스,애플,아이폰 16 프로,PHONE,N,
아이폰,번개장터,391584942,타오바오 아이폰 삽니다,20000,판매중,,https://media.bunjang.co.kr/product/391584942_1_1772016194_w{res}.jpg,https://m.bunjang.co.kr/products/391584942,2026-05-06 21:11,타오바오 아이폰,애플,,PHONE,N,
아이폰,번개장터,400735740,(라이즈 원빈 손민수) 아이폰 14pro 케이스티파이,39000,판매중,,https://media.bunjang.co.kr/product/400735740_1_1778069470_w{res}.jpg,https://m.bunjang.co.kr/products/400735740,2026-05-06 21:11,(라이즈 원빈 손민수) 아이폰 14pro 케이스티파이,애플,아이폰 14,CASE,Y,
아이폰,번개장터,403152225,스크랩집 scrapzip 아이폰15프로 케이스 파핑 캔디,17500,판매중,,https://media.bunjang.co.kr/product/403152225_1_1776856371_w{res}.jpg,https://m.bunjang.co.kr/products/403152225,2026-05-06 21:10,스크랩집 scrapzip 아이폰15프로 케이스 파핑 캔디,애플,아이폰 15 프로,CASE,Y,
아이폰,번개장터,403151837,scrapzip 스크랩집 아이폰15프로 케이스 레인보우 미사용 새제품,21500,판매중,,https://media.bunjang.co.kr/product/403151837_1_1776777961_w{res}.jpg,https://m.bunjang.co.kr/products/403151837,2026-05-06 21:10,scrapzip 스크랩집 아이폰15프로 케이스 레인보우 미사용 새제품,애플,아이폰 15 프로,CASE,Y,
아이폰,번개장터,393569067,투샌디 TOSANDY 단추 커스텀 케이스 아이폰15프로 미사용 새제품,21500,판매중,,https://media.bunjang.co.kr/product/393569067_1_1776174812_w{res}.jpg,https://m.bunjang.co.kr/products/393569067,2026-05-06 21:10,투샌디 tosandy 단추 커스텀 케이스 아이폰15프로 미사용 새제품,애플,아이폰 15 프로,CASE,Y,
아이폰,번개장터,392290003,어반소피스티케이션 헬로키티 푸퍼케이스 아이폰15프로 미사용 새제품,182500,판매중,,https://media.bunjang.co.kr/product/392290003_1_1776174826_w{res}.jpg,https://m.bunjang.co.kr/products/392290003,2026-05-06 21:10,어반소피스티케이션 헬로키티 푸퍼케이스 아이폰15프로 미사용 새제품,애플,아이폰 15 프로,CASE,Y,
아이폰,번개장터,384444879,호노카아 올리브 드로잉 아이폰15프로 카드 하드케이스,12500,판매중,,https://media.bunjang.co.kr/product/384444879_1_1769221751_w{res}.jpg,https://m.bunjang.co.kr/products/384444879,2026-05-06 21:10,호노카아 올리브 드로잉 아이폰15프로 카드 하드케이스,애플,아이폰 15 프로,CASE,Y,
아이폰,번개장터,290488240,하이우 델피니움 래넌큘러스 아이폰13프로 무광하드케이스,16000,판매중,,https://media.bunjang.co.kr/product/290488240_1_1748355645_w{res}.jpg,https://m.bunjang.co.kr/products/290488240,2026-05-06 21:10,하이우 델피니움 래넌큘러스 아이폰13프로 무광하드케이스,애플,아이폰 13 프로,CASE,Y,
아이폰,번개장터,406415056,아이폰 15 프로 케이스티파이 멕세이프 케이스 팔아요.,10000,판매중,,https://media.bunjang.co.kr/product/406415056_1_1778069454_w{res}.jpg,https://m.bunjang.co.kr/products/406415056,2026-05-06 21:10,아이폰 15 프로 케이스티파이 멕세이프 케이스 .,애플,아이폰 15 프로,CASE,Y,
