query_keyword,dataset_role,label,label_meaning,platform,keyword,canonical_name,matched_keywords,pid,name,price,status,date,link,image_url,description,source_file
갤럭시 s25,train_positive_candidate,1,positive_candidate_from_joongna,중고나라,갤럭시 s25,갤럭시 s25,갤럭시 s25,228328142,삼성 갤럭시 s25 엣지,750000,판매중,2026-05-07 05:05,https://web.joongna.com/product/228328142,https://img2.joongna.com/media/original/2026/05/07/1778097930423xv3_qfWNs.jpg?impolicy=thumb&size=150,,통합조회_전체_no_filter_20260507_0536.csv
갤럭시 s25,train_positive_candidate,1,positive_candidate_from_joongna,중고나라,갤럭시 s25,갤럭시 s25,갤럭시 s25,228327357,[68만]S급 갤럭시S25 256기가 전색상,680000,판매중,2026-05-07 02:15,https://web.joongna.com/product/228327357,https://img2.joongna.com/media/original/2026/05/07/1778087728428rWD_H922g.jpg?impolicy=thumb&size=150,,통합조회_전체_no_filter_20260507_0536.csv
갤럭시 s25,train_positive_candidate,1,positive_candidate_from_joongna,중고나라,갤럭시 s25,갤럭시 s25,갤럭시 s25,228326693,갤럭시 S25 아이스블루 256기가 SS급 팔아요~,700000,판매중,2026-05-07 01:10,https://web.joongna.com/product/228326693,https://img2.joongna.com/media/original/2026/05/07/1778083809808nL7_udilg.jpg?impolicy=thumb&size=150,,통합조회_전체_no_filter_20260507_0536.csv
갤럭시 s25,train_positive_candidate,1,positive_candidate_from_joongna,중고나라,갤럭시 s25,갤럭시 s25,갤럭시 s25,228325669,갤럭시 S25엣지 최신폰 512기가 대용량 외관초S급,770000,판매중,2026-05-07 00:15,https://web.joongna.com/product/228325669,https://img2.joongna.com/media/original/2026/05/07/1778080498905O0q_rtZfw.jpg?impolicy=thumb&size=150,,통합조회_전체_no_filter_20260507_0536.csv
갤럭시 s25,train_positive_candidate,1,positive_candidate_from_joongna,중고나라,갤럭시 s25,갤럭시 s25,갤럭시 s25,228325369,갤럭시박스 갤럭시S25 네이비 512기가 빈박스,15000,판매중,2026-05-07 00:04,https://web.joongna.com/product/228325369,https://img2.joongna.com/media/original/2026/05/07/1778079855710WDs_W7bx2.jpg?impolicy=thumb&size=150,,통합조회_전체_no_filter_20260507_0536.csv
갤럭시 s25,train_positive_candidate,1,positive_candidate_from_joongna,중고나라,갤럭시 s25,갤럭시 s25,갤럭시 s25,228325360,갤럭시S25 등급별기기 판매합니다,580000,판매중,2026-05-07 00:03,https://web.joongna.com/product/228325360,https://img2.joongna.com/media/original/2026/05/07/17780798349863rt_BYHQq.jpg?impolicy=thumb&size=150,,통합조회_전체_no_filter_20260507_0536.csv
갤럭시 s25,train_positive_candidate,1,positive_candidate_from_joongna,중고나라,갤럭시 s25,갤럭시 s25,갤럭시 s25,228324932,[72만]S급 업무용 갤럭시S25 [512기가],720000,판매중,2026-05-06 23:50,https://web.joongna.com/product/228324932,https://img2.joongna.com/media/original/2026/05/06/1778079012165K9j_m4F6B.jpg?impolicy=thumb&size=150,,통합조회_전체_no_filter_20260507_0536.csv
갤럭시 s25,train_positive_candidate,1,positive_candidate_from_joongna,중고나라,갤럭시 s25,갤럭시 s25,갤럭시 s25,228323345,새상품급 갤럭시S25 256기가,630000,판매중,2026-05-06 22:57,https://web.joongna.com/product/228323345,https://img2.joongna.com/media/original/2026/05/06/1778075826232QTB_PJECh.jpg?impolicy=thumb&size=150,,통합조회_전체_no_filter_20260507_0536.csv
갤럭시 s25,train_positive_candidate,1,positive_candidate_from_joongna,중고나라,갤럭시 s25,갤럭시 s25,갤럭시 s25,228322898,갤럭시S25 네이비 512 판매합니다,700000,판매중,2026-05-06 22:43,https://web.joongna.com/product/228322898,https://img2.joongna.com/media/original/2026/05/06/1778074995512A6o_369Rq.jpg?impolicy=thumb&size=150,,통합조회_전체_no_filter_20260507_0536.csv
갤럭시 s25,train_positive_candidate,1,positive_candidate_from_joongna,중고나라,갤럭시 s25,갤럭시 s25,갤럭시 s25,226736144,미개봉 새상품 삼성 갤럭시 S25 시리즈 포스터,1000,판매중,2026-05-06 22:29,https://web.joongna.com/product/226736144,https://img2.joongna.com/media/original/2026/03/25/1774438367939eer_fXsIJ.jpg?impolicy=thumb&size=150,,통합조회_전체_no_filter_20260507_0536.csv
갤럭시 s25,train_positive_candidate,1,positive_candidate_from_joongna,중고나라,갤럭시 s25,갤럭시 s25,갤럭시 s25,228134858,갤럭시 S25 네이비 256GB KT 무잔상 SS급 213397,660000,판매중,2026-05-06 21:10,https://web.joongna.com/product/228134858,https://img2.joongna.com/media/original/2026/05/01/1777619651399uih_DZPyY.jpg?impolicy=thumb&size=150,,통합조회_전체_no_filter_20260507_0536.csv
갤럭시 s25,train_positive_candidate,1,positive_candidate_from_joongna,중고나라,갤럭시 s25,갤럭시 s25,갤럭시 s25,227287381,secretfact 갤럭시s25 스와로브스키 케이스,50000,판매중,2026-05-06 21:29,https://web.joongna.com/product/227287381,https://img2.joongna.com/media/original/2026/04/09/1775663839287dhS_NMDlt.jpg?impolicy=thumb&size=150,,통합조회_전체_no_filter_20260507_0536.csv
갤럭시 s25,train_positive_candidate,1,positive_candidate_from_joongna,중고나라,갤럭시 s25,갤럭시 s25,갤럭시 s25,228320322,A급) 갤럭시S25 512G 무잔상 블루 61005,660000,예약중,2026-05-06 21:29,https://web.joongna.com/product/228320322,https://img2.joongna.com/media/original/2026/05/06/1778070544885QBC_iMtdy.jpg?impolicy=thumb&size=150,,통합조회_전체_no_filter_20260507_0536.csv
갤럭시 s25,train_positive_candidate,1,positive_candidate_from_joongna,중고나라,갤럭시 s25,갤럭시 s25,갤럭시 s25,228111096,갤럭시 S25 엣지 S급 256G 정상해지 공기기,750000,판매중,2026-05-06 21:28,https://web.joongna.com/product/228111096,https://img2.joongna.com/media/original/2026/04/30/1777554615553SrY_0hQGn.jpg?impolicy=thumb&size=150,,통합조회_전체_no_filter_20260507_0536.csv
갤럭시 s25,train_positive_candidate,1,positive_candidate_from_joongna,중고나라,갤럭시 s25,갤럭시 s25,갤럭시 s25,228110622,갤럭시 S25 엣지 SS급 256G 정상해지 공기기,790000,판매중,2026-05-06 21:28,https://web.joongna.com/product/228110622,https://img2.joongna.com/media/original/2026/04/30/1777553736038D11_vGAiD.jpg?impolicy=thumb&size=150,,통합조회_전체_no_filter_20260507_0536.csv
갤럭시 s25,train_positive_candidate,1,positive_candidate_from_joongna,중고나라,갤럭시 s25,갤럭시 s25,갤럭시 s25,228084084,갤럭시 S25 엣지 SS급 256G 새상품급,790000,판매중,2026-05-06 21:28,https://web.joongna.com/product/228084084,https://img2.joongna.com/media/original/2026/04/30/1777506925446VUh_uN7Yi.jpg?impolicy=thumb&size=150,,통합조회_전체_no_filter_20260507_0536.csv
갤럭시 s25,train_positive_candidate,1,positive_candidate_from_joongna,중고나라,갤럭시 s25,갤럭시 s25,갤럭시 s25,228084079,갤럭시 S25 엣지 SS급 256G 정상해지 공기기,790000,판매중,2026-05-06 21:28,https://web.joongna.com/product/228084079,https://img2.joongna.com/media/original/2026/04/30/1777506904773CmK_nNVl9.jpg?impolicy=thumb&size=150,,통합조회_전체_no_filter_20260507_0536.csv
갤럭시 s25,train_positive_candidate,1,positive_candidate_from_joongna,중고나라,갤럭시 s25,갤럭시 s25,갤럭시 s25,228320195,[68만]S급 업무용 갤럭시S25 [256기가],680000,판매중,2026-05-06 21:25,https://web.joongna.com/product/228320195,https://img2.joongna.com/media/original/2026/05/06/1778070336166i7a_gmdzJ.jpg?impolicy=thumb&size=150,,통합조회_전체_no_filter_20260507_0536.csv
갤럭시 s25,train_positive_candidate,1,positive_candidate_from_joongna,중고나라,갤럭시 s25,갤럭시 s25,갤럭시 s25,228319538,SSS급) 갤럭시 S25 엣지 256GB 판매,690000,판매중,2026-05-06 21:07,https://web.joongna.com/product/228319538,https://img2.joongna.com/media/original/2026/05/06/1778069212663AhP_ic9PL.jpg?impolicy=thumb&size=150,,통합조회_전체_no_filter_20260507_0536.csv
갤럭시 s25,train_positive_candidate,1,positive_candidate_from_joongna,중고나라,갤럭시 s25,갤럭시 s25,갤럭시 s25,227852602,갤럭시S25 256G 새제품급(추가포함등등),690000,판매중,2026-05-06 20:27,https://web.joongna.com/product/227852602,https://img2.joongna.com/media/original/2026/04/23/1776946456789PuJ_IZdL9.jpg?impolicy=thumb&size=150,,통합조회_전체_no_filter_20260507_0536.csv
